"Name","Calls","TotalDurationNs","AverageNs","Percentage"
hsa_queue_create,1,75338106,75338106,78.60022848890893
hsa_system_get_info,7036,17059622,2424,17.798299669683992
hsa_amd_memory_pool_allocate,7,1417859,202551,1.4792519653341951
hsa_executable_load_agent_code_object,2,425303,212651,0.4437185211029652
hsa_executable_freeze,2,329616,164808,0.34388829623086364
hsa_system_get_major_extension_table,5,261310,52262,0.2726246622982106
hsa_agent_get_info,77,210310,2731,0.21941637414540838
hsa_amd_memory_pool_free,3,154433,51477,0.16111991302552353
hsa_signal_create,41,97651,2381,0.10187926561586835
hsa_amd_agents_allow_access,7,94634,13519,0.09873163021671141
hsa_amd_agent_iterate_memory_pools,14,78171,5583,0.08155578614103333
hsa_amd_memory_pool_get_info,46,69714,1515,0.07273260000557748
hsa_executable_destroy,1,58376,58376,0.06090366723937216
hsa_code_object_reader_create_from_memory,2,43037,21518,0.04490049210259113
hsa_signal_store_screlease,2,30950,15475,0.03229012781037701
hsa_isa_get_info_alt,2,26732,13366,0.02788948939020996
hsa_iterate_agents,3,26729,8909,0.027886359490906856
hsa_amd_profiling_get_dispatch_time,2,24402,12201,0.025458600931464292
hsa_amd_memory_lock_to_pool,1,18534,18534,0.019336517894588935
hsa_executable_create_alt,2,17735,8867,0.018502921380195034
hsa_signal_wait_scacquire,1,16543,16543,0.017259308057094247
hsa_executable_get_symbol_by_name,14,13965,997,0.014569681255958481
hsa_executable_symbol_get_info,14,9674,691,0.010092881952749183
hsa_amd_agent_memory_pool_get_info,5,6126,1225,0.0063912543769424745
hsa_amd_profiling_async_copy_enable,2,5824,2912,0.006076177847096469
hsa_signal_load_relaxed,3,2619,873,0.0027324020916115474
hsa_queue_add_write_index_screlease,2,2124,1062,0.0022159687065990558
hsa_agent_iterate_isas,1,1981,1981,0.002066776839817669
hsa_signal_silent_store_relaxed,2,1847,923,0.0019269746709456006
hsa_queue_load_read_index_relaxed,2,1786,893,0.0018633333851157785
hsa_queue_load_read_index_scacquire,2,1572,786,0.0016400672348275496
hsa_amd_profiling_set_profiler_enabled,1,1244,1244,0.0012978649110212926
hsa_code_object_reader_destroy,1,1200,1200,0.0012519597212424043
hsa_dispatch,1,0,0,0.0
